car_number,work_time,start_CP,trips_count,trips_start_time,
1,842,0,12,350,404,466,560,652,718,850,916,970,1032,1124,1192
2,746,1,12,350,406,470,555,644,712,778,832,898,956,1020,1096
3,774,1,12,364,418,485,570,662,732,798,868,932,998,1056,1138
4,670,0,6,370,424,495,592,984,1040
5,732,1,6,378,440,515,600,1044,1110
6,820,0,12,390,444,525,608,692,758,884,946,1012,1070,1154,1210
7,884,1,6,392,454,545,632,1174,1276
8,776,1,12,414,480,576,672,738,792,858,914,972,1040,1102,1190
9,858,0,12,430,500,585,680,772,838,928,984,1054,1120,1210,1288
10,820,1,6,434,510,1008,1082,1156,1254
11,878,0,12,442,530,616,698,812,878,942,996,1068,1138,1232,1320
12,842,1,12,456,540,626,752,818,900,960,1026,1086,1170,1232,1298
13,62,1,2,1258,1320
