car_number,work_time,start_CP,trips_count,trips_start_time,
1,759,0,16,330,375,416,465,514,563,622,671,742,791,835,887,948,997,1040,1089
2,765,0,16,345,391,436,486,530,587,646,695,754,803,850,902,960,1007,1050,1110
3,770,0,16,360,405,446,496,538,599,658,707,778,828,880,947,990,1037,1080,1130
4,563,1,8,360,406,453,502,542,598,857,923
5,778,0,16,372,419,466,518,562,623,682,731,791,842,895,960,1000,1047,1090,1150
6,776,0,16,384,432,478,530,574,635,694,743,805,857,910,973,1020,1069,1110,1160
7,817,0,16,396,443,490,541,586,647,706,755,865,932,980,1027,1070,1120,1164,1213
8,866,0,16,426,476,526,575,634,683,730,779,970,1017,1060,1100,1140,1189,1245,1292
9,886,0,16,456,506,550,611,670,719,766,815,1010,1059,1100,1140,1188,1237,1290,1342
10,799,1,16,551,610,659,718,767,820,872,936,985,1030,1079,1120,1170,1215,1262,1350
11,250,0,6,1130,1177,1230,1277,1330,1380
12,155,0,4,1152,1201,1260,1307
13,146,0,4,1176,1225,1275,1322
14,160,0,4,1200,1250,1310,1360
