car_number,work_time,start_CP,trips_count,trips_start_time,
1,689,1,6,330,404,484,588,944,1019
2,822,1,10,340,416,498,604,712,792,885,966,1045,1162
3,838,0,10,350,424,516,610,720,798,910,989,1064,1188
4,700,1,6,350,428,512,620,975,1050
5,750,0,6,360,436,532,630,1031,1110
6,728,1,6,360,435,520,628,1014,1088
7,272,0,4,368,442,540,640
8,744,1,6,368,442,528,636,1038,1112
9,937,0,10,376,456,556,664,756,838,1025,1100,1198,1313
10,810,1,10,376,456,544,652,748,828,912,990,1068,1186
11,865,0,10,384,463,564,676,780,876,950,1026,1132,1249
12,826,1,10,384,463,552,660,768,852,928,1005,1084,1210
13,938,0,10,391,470,572,688,872,952,1030,1120,1224,1329
14,893,1,10,391,470,560,668,778,902,982,1057,1150,1284
15,947,0,10,398,477,580,700,892,968,1043,1130,1240,1345
16,858,1,10,398,477,568,678,788,862,936,1012,1092,1256
17,907,1,10,405,484,576,688,848,926,1002,1080,1174,1312
18,855,0,10,410,491,596,724,804,894,974,1052,1142,1265
19,860,1,10,412,492,584,698,808,882,960,1037,1140,1272
20,910,1,10,418,500,592,708,858,934,1008,1096,1203,1328
21,875,1,10,421,508,600,732,818,918,996,1072,1162,1296
22,859,0,10,422,505,612,736,816,903,982,1060,1152,1281
23,925,1,10,430,524,620,744,828,958,1032,1122,1233,1355
24,848,0,10,449,536,644,758,840,920,998,1076,1174,1297
25,895,1,10,449,548,652,768,867,942,1020,1104,1218,1344
