car_number,work_time,start_CP,trips_count,trips_start_time,
1,833,0,14,330,391,452,514,579,643,712,769,865,922,982,1039,1101,1163
2,836,0,14,343,404,466,528,595,659,730,787,883,940,1000,1056,1115,1179
3,839,0,14,356,416,473,535,603,667,748,805,901,958,1016,1072,1131,1195
4,843,0,14,368,428,487,549,619,683,757,814,910,967,1024,1086,1147,1211
5,880,1,14,378,438,500,563,627,703,832,892,949,1008,1064,1123,1187,1258
6,856,0,14,380,440,501,563,635,699,775,868,928,985,1045,1107,1171,1236
7,950,0,14,392,450,508,571,643,707,784,841,1031,1093,1155,1219,1282,1342
8,873,0,14,402,460,523,587,659,724,847,904,964,1021,1080,1142,1207,1275
9,843,0,14,412,469,531,595,667,733,811,877,937,994,1052,1114,1179,1255
10,844,0,14,421,478,539,603,676,742,820,886,946,1003,1059,1121,1197,1265
11,865,0,14,430,486,547,611,685,751,829,895,955,1012,1073,1135,1227,1295
12,873,0,14,445,507,571,635,721,778,874,931,991,1048,1108,1171,1247,1318
13,871,0,12,459,521,587,651,739,796,856,1079,1139,1203,1270,1330
14,874,0,14,480,542,611,675,766,823,919,976,1038,1100,1163,1227,1294,1354
15,877,1,14,493,555,619,694,760,838,913,973,1030,1087,1149,1237,1306,1370
16,872,0,12,494,556,627,691,793,850,1066,1128,1188,1245,1306,1366
17,903,0,12,515,579,651,715,802,859,1094,1156,1217,1285,1350,1418
18,60,0,2,1318,1378
19,68,0,2,1330,1398
